Appellation officielle;Commune
Lycée professionnel Danielle Casanova - Lycée des métiers du cuir et des services;Givors
Lycée professionnel Diderot - Lycée des métiers du textile, de l'habillement et de la maintenance industrielle;Lyon 1er Arrondissement
Lycée professionnel du 1er Film - Lycée des métiers de la beauté, la communication et la restauration;Lyon 8e  Arrondissement
Lycée professionnel Edmond Labbé - Lycée des métiers de l'énergie;Oullins
Lycée professionnel Emile Béjuit - Automobile - Lycée des métiers de l'automobile et du transport;Bron
Lycée professionnel Fernand Forest;Saint-Priest
Lycée professionnel François Cevert;Ecully
Lycée professionnel Georges Lamarque - Lycée des métiers des arts et techniques du bois et de la tapisserie d'ameublement;Rillieux-la-Pape
Lycée professionnel Gustave Eiffel;Brignais
Lycée professionnel Hélène Boucher - Lycée des métiers de la restauration, de la proprete et de l'environnement;Vénissieux
Lycée professionnel Jacques de Flesselles - Lycée des métiers du génie électrique et de la bureautique;Lyon 1er Arrondissement
Lycée professionnel Jean Lurçat - Lycée des métiers des services aux  personnes et aux entreprises;Lyon 8e  Arrondissement
Lycée professionnel Joseph-Marie Jacquard - Lycée des métiers mode - LYC MET services personne et entreprise - LYC MET réseau textile mode cuir;Oullins
Lycée professionnel Les Canuts - Lycée des métiers de l'électrotechnique - Lycée des métiers de la vente;Vaulx-en-Velin
Lycée professionnel Louise Labé - Lycée des métiers réseau textile mode cuir;Lyon 7e  Arrondissement
Lycée professionnel Magenta - Lycée des métiers des services administratifs;Villeurbanne
Lycée professionnel Marc Seguin;Vénissieux
Lycée professionnel Marie Curie - Lycée des métiers du commerce et du service à la personne;Villeurbanne
Lycée professionnel privé Ateliers d'Apprentissage de l'Industrie;Vaulx-en-Velin
Lycée professionnel privé Carrel - Lycée des métiers des relations commerciales;Lyon 6e  Arrondissement
Lycée professionnel privé Chevreul Lestonnac;Lyon 7e  Arrondissement
Lycée professionnel privé de Coiffure de Lyon;Lyon 4e  Arrondissement
Lycée professionnel privé des Arts de la Coiffure - Lycée des métiers des arts de la coiffure;Lyon 1er Arrondissement
Lycée professionnel privé Don Bosco - Lycée des métiers des services à la personne;Lyon 5e  Arrondissement
Lycée professionnel privé Institut Technique des Carrières Carole;Lyon 2e  Arrondissement
Lycée professionnel privé Interfora;Saint-Fons
Lycée professionnel privé Japy - Lycée des métiers de la vente et de la gestion administrative;Lyon 1er Arrondissement
Lycée professionnel privé Jean-Baptiste de La Salle;Lyon 1er Arrondissement
Lycée professionnel privé La Favorite Sainte Thérèse;Sainte-Foy-lès-Lyon
Lycée professionnel privé La Mache - Lycée des métiers de la production et des technologies industrielles;Lyon 8e  Arrondissement
Lycée professionnel privé La Vidaude;Saint-Genis-Laval
Lycée professionnel privé Notre Dame G;Givors
Lycée professionnel privé Notre Dame V;Villefranche-sur-Saône
Lycée professionnel privé Orsel;Oullins
Lycée professionnel privé ORT;Lyon 8e  Arrondissement
Lycée professionnel privé Saint Charles - Lycée des métiers des systèmes électroniques et du commerce;Rillieux-la-Pape
Lycée professionnel privé Saint Joseph - Lycée des métiers de l'énergie, de la gestion-administration et de la relation clientèle;Lyon 7e  Arrondissement
Lycée professionnel privé Saint Louis-Saint Bruno - Lycée des métiers du tertiaire administratif et commercial;Lyon 1er Arrondissement
Lycée professionnel privé Saint Marc - Lycée des métiers des services administratifs et de la vente;Lyon 2e  Arrondissement
Lycée professionnel privé Société Enseignement Professionnel du Rhône - Lycée des métiers du réseau textile mode cuir;Lyon 3e  Arrondissement
Lycée professionnel Sermenaz;Rillieux-la-Pape
Lycée professionnel Tony Garnier - Lycée des métiers du bâtiment et des travaux publics;Bron
Lycée technologique privé Carrel;Lyon 6e  Arrondissement
Lycée technologique privé Don Bosco;Lyon 5e  Arrondissement
Lycée technologique privé ICOF;Lyon 5e  Arrondissement
Lycée technologique privé La Mache;Lyon 8e  Arrondissement
Lycée technologique privé Notre Dame;Villefranche-sur-Saône
Lycée technologique privé ORT;Lyon 8e  Arrondissement
Section d'enseignement professionnel du Lycée polyvalent Aiguerande;Belleville-en-Beaujolais
Section d'enseignement professionnel du Lycée polyvalent Aragon-Picasso;Givors
Section d'enseignement professionnel du Lycée polyvalent Charlie Chaplin;Décines-Charpieu
Section d'enseignement professionnel du Lycée polyvalent Claude Bernard;Villefranche-sur-Saône
Section d'enseignement professionnel du Lycée polyvalent Edouard Branly;Lyon 5e  Arrondissement
Section d'enseignement professionnel du Lycée polyvalent Frédéric Fays;Villeurbanne
Section d'enseignement professionnel du Lycée polyvalent François Mansart;Thizy-les-Bourgs
Section d'enseignement professionnel du Lycée polyvalent François Rabelais;Dardilly
Section d'enseignement professionnel du Lycée polyvalent Hector Guimard;Lyon 7e  Arrondissement
Section d'enseignement professionnel du Lycée polyvalent Jacques Brel;Vénissieux
Section d'enseignement professionnel du Lycée polyvalent Louis Armand;Villefranche-sur-Saône
Section d'enseignement professionnel du Lycée polyvalent privé Jehanne de France;Lyon 9e  Arrondissement
Section d'enseignement professionnel du Lycée polyvalent René Cassin;Tarare
